OBJECTID,SampleID,saris_pali,waterbody_,waterbody1,CFR,latitude,longitude,date,year,sample_typ,gear,warmwater_,warmwater1,contains_n,coldwater_,coldwater1,min_EBT_le,max_EBT_le,snapped_la,snapped_lo,Last_sampl,Link_to_da,Link_to_pi,ORIG_FID
"25","132","3313950",Bear River,Stream_River,TRUE,42.54123720000,-72.72705380000,2000-08-22,"2000",Total Pick-up,Backpack Shocking,-BND|-LND|,0011|0004|,TRUE,--AS|-EBT|,0100|0015|,"58","201",42.54089064170,-72.72708441230,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3313950- Bear River,NA,"-1"
"26","133","3315200",Maxwell Brook,Stream_River,TRUE,42.65079470000,-72.86660860000,2000-08-08,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,--AS|-EBT|,0071|0063|,"46","171",42.65074278720,-72.86667320260,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315200- Maxwell Brook,NA,"-1"
"27","136","8144175",Willard Brook,Stream_River,TRUE,42.67727000000,-71.75685000000,2000-08-07,"2000",Total Pick-up,Backpack Shocking,--BB|-BND|---F|-LND|---P|--WS|--YP|,0010|0025|0022|0008|0001|0003|0001|,TRUE,--BT|-EBT|,0003|0003|,"84","221",42.67738780580,-71.75691598750,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8144175- Willard Brook,NA,"-1"
"28","137","8144250",Trapfall Brook,Stream_River,TRUE,42.67836760000,-71.79234600000,2000-08-07,"2000",Total Pick-up,Backpack Shocking,-BND|--WS|,0067|0008|,TRUE,-EBT|,0020|,"77","225",42.67836185090,-71.79223876850,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8144250- Trapfall Brook,NA,"-1"
"30","139","8144225",Locke Brook,Stream_River,TRUE,42.70022320000,-71.79597480000,2000-08-04,"2000",Total Pick-up,Backpack Shocking,--BB|-BND|--GS|--WS|,0029|0045|0001|0024|,TRUE,-EBT|,0076|,"52","253",42.70036488570,-71.79603181660,"2013",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8144225- Locke Brook,NA,"-1"
"31","140","8451850",South Branch Souhegan River,Stream_River,TRUE,42.69341540000,-71.85341270000,2000-08-03,"2000",Total Pick-up,Backpack Shocking,--BB|--CP|--CS|--GS|---P|--YB|,0004|0002|0001|0001|0003|0007|,TRUE,-EBT|,0024|,"60","214",42.69355100080,-71.85358928570,"2010",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Merrimack R. Basin (84)/8451850- Sougegan R (SB),NA,"-1"
"32","141","8144125",Mason Brook,Stream_River,TRUE,42.69646310000,-71.75465020000,2000-08-02,"2000",Total Pick-up,Backpack Shocking,--BB|---P|--WS|--YB|,0001|0074|0011|0001|,TRUE,-EBT|,0008|,"75","255",42.69647466300,-71.75433655560,"2014",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8144125- Mason Brook,NA,"-1"
"34","144","7341525",Traphole Brook,Stream_River,TRUE,42.16150200000,-71.19166690000,2000-07-21,"2000",Total Pick-up,Backpack Shocking,--BS|--RP|--SD|--WS|,0014|0044|0002|0086|,TRUE,--BT|-EBT|,0037|0007|,"82","235",42.16154222240,-71.19184409260,"2009",file:///W:/fisherie/Scanned River Files/Watersheds/Boston Harbor (7)/Neponset River Basin (73)/7341525- Traphole Br,NA,"-1"
"36","163","9253725",Gravely Brook,Stream_River,TRUE,42.66101020000,-70.90378560000,2000-08-09,"2000",Total Pick-up,Backpack Shocking,--AE|--RP|,0007|0030|,TRUE,-EBT|,0005|,"101","183",42.66109228580,-70.90393264830,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Coastal (9)/Ipswich R. Basin (92)/9253725- Gravely Br,NA,"-1"
"37","169","3316225",Potter Brook,Stream_River,TRUE,42.72315900000,-72.87989630000,2000-06-13,"2000",Total Pick-up,Backpack Shocking,-BND|-CRC|,0005|0009|,TRUE,-EBT|,0021|,"86","155",42.72310421670,-72.88005988120,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316225- Potter Brk,NA,"-1"
"38","170","3316250",Tuttle Brook,Stream_River,TRUE,42.70536010000,-72.87467730000,2000-06-13,"2000",Total Pick-up,Backpack Shocking,-BND|-CRC|-LND|,0030|0059|0007|,TRUE,-EBT|,0006|,"99","162",42.70540702420,-72.87474656930,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316250- Tuttle Br,NA,"-1"
"39","171","3316150",County Brook,Stream_River,TRUE,42.70194260000,-72.92796170000,2000-06-14,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0010|,"35","142",42.70191846630,-72.92796242490,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316150- County Br,NA,"-1"
"40","172","3316150",County Brook,Stream_River,TRUE,42.68239220000,-72.92190990000,2000-06-14,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0030|,"29","142",42.68234060050,-72.92204363650,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316150- County Br,NA,"-1"
"41","173","3316050",Todd Brook,Stream_River,TRUE,42.65188080000,-72.92931910000,2000-07-18,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0020|,"38","190",42.65183732370,-72.92935938340,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316050- Todd Mt Br,NA,"-1"
"42","175","3316275",Reed Brook,Stream_River,TRUE,42.66668920000,-72.98785960000,2000-07-19,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,--BT|-EBT|--SC|,0004|0052|0007|,"39","135",42.66616034760,-72.98811835800,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316275- Reed Br,NA,"-1"
"43","176","3316300",Whitcomb Brook,Stream_River,TRUE,42.67014890000,-72.99276930000,2000-07-19,"2000",Total Pick-up,Backpack Shocking,-LND|,0006|,TRUE,-EBT|--SC|,0055|0079|,"41","130",42.66977783110,-72.99310411620,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316300- Whitcomb Br,NA,"-1"
"44","177","3315300",Rice Brook (1),Stream_River,TRUE,42.62877500000,-72.87620850000,2000-07-20,"2000",Total Pick-up,Backpack Shocking,-LND|,0001|,TRUE,--BT|-EBT|--SC|,0002|0020|0016|,"50","170",42.62875876970,-72.87621906100,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315300- Rice Br,NA,"-1"
"45","178","3315350",Hawks Brook,Stream_River,TRUE,42.60840390000,-72.88045940000,2000-07-20,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0037|0007|,"38","168",42.60846320300,-72.88054644690,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315350- Hawks Br,NA,"-1"
"46","179","3315325",Bozrah Brook,Stream_River,TRUE,42.62487350000,-72.88055640000,2000-07-20,"2000",Total Pick-up,Backpack Shocking,-LND|---P|,0002|0007|,TRUE,-EBT|--SC|,0011|0018|,"50","270",42.62462660090,-72.88074833040,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315325- Bozrah Br,NA,"-1"
"47","180","3314650",Underwood Brook,Stream_River,TRUE,42.70690920000,-72.82575430000,2000-07-31,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0012|0010|,"45","182",42.70678247140,-72.82566841270,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314650- Underwood Br,NA,"-1"
"48","181","3316100",Steele Brook,Stream_River,TRUE,42.68429960000,-72.94417390000,2000-07-13,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0045|,"45","152",42.68426074610,-72.94420261730,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316100- Steele Br,NA,"-1"
"49","182","3314425",Taylor Brook (1),Stream_River,TRUE,42.67508990000,-72.77372120000,2000-08-02,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0068|,"46","221",42.67513099390,-72.77378644410,"2008",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314425- Taylor Br,NA,"-1"
"50","183","3314450",Kinsman Brook,Stream_River,TRUE,42.67953490000,-72.78512350000,2000-08-02,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0026|0005|,"52","160",42.67953176080,-72.78512265800,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314450- Kinsman Br,NA,"-1"
"51","184","3316325",Cascade Brook,Stream_River,TRUE,42.67504860000,-72.99560470000,2000-08-03,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0021|,"44","220",42.67490699460,-72.99564378990,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316325- Cascade Br,NA,"-1"
"52","185","3314975",Third Brook,Stream_River,TRUE,42.61846510000,-72.78943470000,2000-08-07,"2000",Total Pick-up,Backpack Shocking,-LND|,0003|,TRUE,--BT|-EBT|--SC|,0001|0019|0003|,"55","150",42.61850015470,-72.78951017790,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314975- Third Br,NA,"-1"
"53","186","3315050",First Brook,Stream_River,TRUE,42.61634380000,-72.82758850000,2000-08-07,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0073|0001|,"45","162",42.61632467170,-72.82767838830,"2008",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315050- First Br,NA,"-1"
"54","187","3315005",UNT to Second Brook,Stream_River,TRUE,42.60696210000,-72.80596800000,2000-08-01,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0050|,"56","191",42.60704660890,-72.80608732860,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315005- UNT to Second Br,NA,"-1"
"55","188","3316265",Bear Swamp Outflow,Stream_River,TRUE,42.66478360000,-72.97016330000,2000-08-08,"2000",Total Pick-up,Backpack Shocking,-BND|-LND|,0001|0010|,TRUE,--BT|-EBT|,0003|0059|,"52","100",42.66474714350,-72.97021731340,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316265- Bear Swamp Outflow,NA,"-1"
"56","189","3314775",Clark Brook,Stream_River,TRUE,42.59546460000,-72.76079650000,2000-08-09,"2000",Total Pick-up,Backpack Shocking,-BND|-CRC|-LND|--WS|,0024|0007|0001|0015|,TRUE,-EBT|--RT|--SC|,0057|0002|0001|,"55","185",42.59537680190,-72.76076408480,"2011",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314775- Clark Br,NA,"-1"
"57","190","3315125",Albee Brook,Stream_River,TRUE,42.60440490000,-72.84250760000,2000-08-09,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0029|,"55","170",42.60471695870,-72.84259829100,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315125- Albee Br,NA,"-1"
"58","191","3315175",Mill Brook (2),Stream_River,TRUE,42.66155170000,-72.85310010000,2000-08-25,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,--AS|-EBT|,0111|0074|,"48","156",42.66152921370,-72.85322864790,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315175- Mill Brook,NA,"-1"
"59","192","3316175",Rice Brook (2),Stream_River,TRUE,42.70193000000,-72.91613000000,2000-08-31,"2000",Total Pick-up,Backpack Shocking,-BND|-LND|,0029|0018|,TRUE,--AS|--BT|-EBT|-LNS|,0099|0002|0009|0001|,"60","218",42.70201669010,-72.91645852380,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316175- Rice Br,NA,"-1"
"60","194","3316200",Shipee Brook,Stream_River,TRUE,42.69865270000,-72.90516290000,2000-07-10,"2000",Total Pick-up,Backpack Shocking,-BND|,0058|,TRUE,-EBT|,0068|,"38","166",42.69876132930,-72.90526215470,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316200- Shippie Brk,NA,"-1"
"61","195","3315125",Albee Brook,Stream_River,TRUE,42.61791620000,-72.84209120000,2000-08-09,"2000",Total Pick-up,Backpack Shocking,-LND|,0002|,TRUE,-EBT|--SC|,0018|0013|,"62","190",42.61767117140,-72.84209230680,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315125- Albee Br,NA,"-1"
"62","198","3522375",Keyup Brook,Stream_River,TRUE,42.61719390000,-72.39517930000,2000-08-30,"2000",Total Pick-up,Backpack Shocking,-BND|---P|--WS|,0001|0002|0002|,TRUE,-EBT|,0071|,"48","236",42.61716600060,-72.39539608480,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3522375- Keyup Br,NA,"-1"
"63","201","3314375",West Branch North River,Stream_River,TRUE,42.68010310000,-72.73908730000,2000-08-29,"2000",Total Pick-up,Backpack Shocking,--BB|-BND|-LND|--WS|,0001|0015|0010|0006|,TRUE,--AS|--BT|-EBT|--SC|,0004|0003|0002|0001|,"258","282",42.68007236060,-72.73900923070,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314375- WB North River,NA,"-1"
"66","215","3314025",Sids Brook,Stream_River,TRUE,42.54700570000,-72.74524550000,2000-08-23,"2000",Total Pick-up,Backpack Shocking,-BND|-CRC|---P|,0014|0101|0039|,TRUE,-EBT|,0048|,"50","192",42.54694980060,-72.74495713160,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314025- Sids Br,NA,"-1"
"67","219","3523500",Gulf Brook,Stream_River,TRUE,42.62341740000,-72.17988700000,2000-09-18,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0030|,"50","144",42.62409095850,-72.18016330900,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523500- Gulf Br,NA,"-1"
"68","220","3523600",Beaver Brook (2),Stream_River,TRUE,42.60503830000,-72.12450260000,2000-09-18,"2000",Total Pick-up,Backpack Shocking,-BND|--CP|---F|--TD|--WS|,0017|0003|0023|0008|0024|,TRUE,-EBT|,0006|,"90","212",42.60500019500,-72.12452053320,"2013",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523600- Beaver Br,NA,"-1"
"70","227","3626525",Swift River,Stream_River,TRUE,42.21581120000,-72.34603120000,1998-10-26,"1998",Total Pick-up,Backpack Shocking,--CP|-LMB|--TD|--WS|,0002|0002|0063|0003|,TRUE,-EBT|,0004|,"138","220",42.21574987050,-72.34609699200,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3626525- Swift River,NA,"-1"
"71","229","5132025",Miscoe Brook (2),Stream_River,TRUE,42.21391000000,-71.65088960000,1998-09-08,"1998",Total Pick-up,Backpack Shocking,---P|--RP|--TD|,0018|0021|0006|,TRUE,-EBT|,0001|,"92","92",42.21387257210,-71.65092874380,"2013",file:///W:/fisherie/Scanned River Files/Watersheds/Narragansett Bay (5)/Blackstone River Basin (51)/5132025- Miscoe Br,NA,"-1"
"72","234","8143950",Squannacook River,Stream_River,TRUE,42.66133620000,-71.70771180000,1998-09-21,"1998",Total Pick-up,Backpack Shocking,--CP|--CS|-LMB|-LND|---P|--TD|--WS|,0006|0039|0001|0040|0001|0001|0005|,TRUE,--BT|-EBT|,0005|0002|,"80","170",42.66138485590,-71.70774519130,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8143950- Squannacook R,NA,"-1"
"76","247","9763800",Roaring Brook,Stream_River,TRUE,41.37742350000,-70.74308350000,2000-06-19,"2000",Total Pick-up,Backpack Shocking,--AE|---B|--BB|,0010|0001|0001|,TRUE,-EBT|,0052|,"42","180",41.37745413280,-70.74312046550,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Coastal (9)/Islands (97)/9763800- Roaring Br,NA,"-1"
"77","248","9763800",Roaring Brook,Stream_River,TRUE,41.37487050000,-70.74176270000,2000-06-19,"2000",Total Pick-up,Backpack Shocking,--AE|,0002|,TRUE,-EBT|,0058|,"54","192",41.37491678300,-70.74188525460,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Coastal (9)/Islands (97)/9763800- Roaring Br,NA,"-1"
"78","253","3314776",Hog Hollow Brook,Stream_River,TRUE,42.59259400000,-72.76116800000,2000-08-18,"2000",Total Pick-up,Backpack Shocking,-BND|,0001|,TRUE,-EBT|--SC|,0043|0001|,"51","168",42.59267894790,-72.76116772870,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314776- Hog Hollow Br,NA,"-1"
"79","254","3314000",Drakes Brook,Stream_River,TRUE,42.55760960000,-72.74168020000,2000-08-21,"2000",Total Pick-up,Backpack Shocking,-BND|,0005|,TRUE,--BT|-EBT|--SC|,0001|0021|0001|,"64","215",42.55763372670,-72.74171085650,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314000- Drakes Br,NA,"-1"
"80","255","3313950",Bear River,Stream_River,TRUE,42.53640080000,-72.74260970000,2000-08-22,"2000",Total Pick-up,Backpack Shocking,-BND|---P|,0040|0003|,TRUE,--AS|--BT|-EBT|,0028|0006|0047|,"55","212",42.53642181280,-72.74266775950,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3313950- Bear River,NA,"-1"
"81","256","3313825",Creamery Brook,Stream_River,TRUE,42.50825220000,-72.77671240000,2000-08-22,"2000",Total Pick-up,Backpack Shocking,-BND|,0040|,TRUE,--AS|--BT|-EBT|--SC|,0001|0010|0061|0021|,"50","261",42.50825003580,-72.77672212520,"2008",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3313825- Creamery Br,NA,"-1"
